year,doy,solar_rad,Tmax_C,Tmin_C,precip_mm,wind_speed,date,Tmean_C,QC_flag,ET0_mm
2025,1,11.71,10.44,-0.54,0.0,1.96,2025-01-01,4.949999999999999,0,1.16
2025,2,12.8,10.89,-3.63,0.0,1.16,2025-01-02,3.6300000000000003,0,1.029
2025,3,12.66,11.0,-0.68,0.0,2.18,2025-01-03,5.16,0,1.265
2025,4,8.02,10.63,-3.37,0.0,1.46,2025-01-04,3.6300000000000003,0,1.073
2025,5,3.14,17.95,4.43,32.0,4.87,2025-01-05,11.19,0,2.263
2025,6,5.59,2.84,-3.77,0.47,4.6,2025-01-06,-0.4650000000000001,0,0.845
2025,7,5.4,3.9,-4.81,0.03,2.1,2025-01-07,-0.45499999999999985,0,0.802
2025,8,12.45,3.51,-5.42,0.0,2.08,2025-01-08,-0.9550000000000001,0,0.869
2025,9,9.98,3.94,-5.58,0.05,1.16,2025-01-09,-0.8200000000000001,0,0.753
2025,10,2.36,1.12,-2.47,17.4,2.19,2025-01-10,-0.675,0,0.501
2025,11,13.53,4.05,-5.91,0.35,1.73,2025-01-11,-0.9300000000000002,0,0.895
2025,12,13.32,7.63,-6.34,1.13,1.81,2025-01-12,0.645,0,1.111
2025,13,13.31,8.78,-4.47,0.05,1.92,2025-01-13,2.155,0,1.188
2025,14,13.39,8.55,-4.5,0.0,0.97,2025-01-14,2.0250000000000004,0,0.963
2025,15,13.0,12.28,-2.93,0.0,1.33,2025-01-15,4.675,0,1.229
2025,16,13.97,13.96,-2.06,0.0,2.27,2025-01-16,5.95,0,1.628
2025,17,8.31,14.28,0.21,4.01,2.38,2025-01-17,7.245,0,1.566
2025,18,5.27,13.86,2.53,2.73,3.24,2025-01-18,8.195,0,1.576
2025,19,5.44,1.3,-6.24,0.01,3.86,2025-01-19,-2.47,0,0.814
2025,20,15.03,-0.73,-7.83,0.0,2.37,2025-01-20,-4.28,0,0.776
2025,21,6.86,-0.97,-9.85,0.0,2.9,2025-01-21,-5.41,0,0.737
2025,22,15.21,0.33,-12.62,0.0,1.15,2025-01-22,-6.145,0,0.779
2025,23,14.76,7.41,-6.83,0.0,1.59,2025-01-23,0.29000000000000004,0,1.154
2025,24,15.48,3.98,-2.42,0.0,2.15,2025-01-24,0.78,0,0.976
2025,25,15.33,10.4,-4.82,0.0,1.87,2025-01-25,2.79,0,1.406
2025,26,2.1,10.23,0.19,15.42,1.08,2025-01-26,5.21,0,0.853
2025,27,7.99,11.42,-0.53,8.16,2.08,2025-01-27,5.445,0,1.328
2025,28,13.06,13.89,-1.99,0.0,1.79,2025-01-28,5.95,0,1.577
2025,29,9.62,16.85,4.43,0.26,1.27,2025-01-29,10.64,0,1.451
2025,30,6.42,19.69,8.16,17.09,4.09,2025-01-30,13.925,0,2.228
2025,31,12.01,18.97,6.97,20.97,3.4,2025-01-31,12.969999999999999,0,2.249
2025,32,15.18,16.42,4.76,0.06,1.22,2025-02-01,10.59,0,1.645
2025,33,15.83,19.48,4.32,0.0,1.89,2025-02-02,11.9,0,2.112
2025,34,13.64,21.82,6.25,0.0,2.31,2025-02-03,14.035,0,2.38
2025,35,4.79,24.14,13.78,0.0,1.26,2025-02-04,18.96,0,1.507
2025,36,5.29,22.4,12.25,0.68,1.57,2025-02-05,17.325,0,1.586
2025,37,8.3,23.98,14.79,0.08,2.66,2025-02-06,19.384999999999998,0,2.13
2025,38,6.63,21.61,10.66,0.01,1.7,2025-02-07,16.134999999999998,0,1.72
2025,39,9.64,24.65,14.42,0.49,3.42,2025-02-08,19.535,0,2.549
2025,40,4.1,13.29,5.03,0.2,3.19,2025-02-09,9.16,0,1.381
2025,41,3.86,12.11,3.91,0.07,2.56,2025-02-10,8.01,0,1.226
2025,42,2.22,13.35,7.56,42.39,1.4,2025-02-11,10.455,0,0.894
2025,43,2.24,14.03,7.47,51.47,2.1,2025-02-12,10.75,0,1.065
2025,44,8.0,8.16,-1.82,0.05,3.35,2025-02-13,3.17,0,1.349
2025,45,10.98,11.25,-4.42,0.98,1.96,2025-02-14,3.415,0,1.545
2025,46,8.14,23.42,8.84,15.4,5.17,2025-02-15,16.130000000000003,0,3.205
2025,47,4.97,18.31,-1.4,12.81,4.63,2025-02-16,8.455,0,2.675
2025,48,18.49,7.83,-4.52,0.0,1.78,2025-02-17,1.6550000000000002,0,1.543
2025,49,11.73,10.65,-2.34,0.01,1.85,2025-02-18,4.155,0,1.512
2025,50,4.79,2.17,-5.62,1.96,4.3,2025-02-19,-1.725,0,0.93
2025,51,19.3,-0.82,-7.69,0.05,4.19,2025-02-20,-4.255,0,1.05
2025,52,17.45,3.6,-7.21,0.0,2.25,2025-02-21,-1.805,0,1.313
2025,53,10.95,7.02,-3.01,0.01,1.02,2025-02-22,2.005,0,1.151
2025,54,8.24,8.95,-2.15,0.14,0.92,2025-02-23,3.3999999999999995,0,1.11
2025,55,16.72,16.23,-0.66,0.0,1.05,2025-02-24,7.785,0,1.921
2025,56,19.43,20.46,3.32,0.0,1.83,2025-02-25,11.89,0,2.672
2025,57,19.18,22.69,5.59,0.0,2.01,2025-02-26,14.14,0,2.945
2025,58,18.55,18.25,6.89,0.0,2.58,2025-02-27,12.57,0,2.594
2025,59,20.44,20.04,4.39,0.0,1.97,2025-02-28,12.215,0,2.785
2025,60,19.81,16.8,3.61,0.13,2.91,2025-03-01,10.205,0,2.641
2025,61,19.42,11.89,-0.66,0.0,1.96,2025-03-02,5.615,0,2.041
2025,62,11.98,17.64,1.71,0.0,1.87,2025-03-03,9.675,0,2.128
2025,63,7.38,18.14,8.1,25.58,5.41,2025-03-04,13.120000000000001,0,2.366
2025,64,8.7,11.05,2.25,0.28,5.27,2025-03-05,6.65,0,1.729
2025,65,20.14,12.47,-1.56,0.0,2.02,2025-03-06,5.455,0,2.175
2025,66,14.26,19.23,3.69,0.0,2.82,2025-03-07,11.46,0,2.68
2025,67,10.83,16.41,8.65,0.09,2.62,2025-03-08,12.530000000000001,0,1.917
2025,68,6.42,15.21,6.65,12.58,2.42,2025-03-09,10.93,0,1.588
2025,69,21.52,18.94,7.28,1.45,1.92,2025-03-10,13.110000000000001,0,2.877
2025,70,19.9,22.73,3.56,0.0,1.94,2025-03-11,13.145,0,3.138
2025,71,21.58,23.75,6.87,0.0,2.35,2025-03-12,15.31,0,3.529
2025,72,16.75,23.26,12.37,1.06,1.63,2025-03-13,17.815,0,2.865
2025,73,16.71,24.88,15.35,4.5,4.35,2025-03-14,20.115,0,3.495
2025,74,4.76,23.95,11.94,72.17,5.16,2025-03-15,17.945,0,2.927
2025,75,19.8,13.67,4.42,0.29,3.69,2025-03-16,9.045,0,2.437
2025,76,23.77,17.83,0.16,0.0,1.49,2025-03-17,8.995,0,2.844
2025,77,21.96,22.8,5.74,0.0,2.95,2025-03-18,14.27,0,3.695
2025,78,11.14,22.91,9.29,1.75,4.47,2025-03-19,16.1,0,3.255
2025,79,14.83,11.74,2.37,0.05,4.11,2025-03-20,7.055,0,2.067
2025,80,24.23,17.17,1.42,0.0,1.71,2025-03-21,9.295000000000002,0,2.945
2025,81,22.7,21.45,4.69,0.0,1.41,2025-03-22,13.07,0,3.191
2025,82,11.25,23.54,9.01,13.19,3.28,2025-03-23,16.275,0,3.1
2025,83,19.55,20.74,10.08,9.68,1.57,2025-03-24,15.41,0,2.99
2025,84,23.12,24.55,7.33,0.0,2.31,2025-03-25,15.940000000000001,0,3.888
2025,85,13.78,23.44,8.77,0.0,1.47,2025-03-26,16.105,0,2.713
2025,86,20.14,25.44,9.04,0.0,1.9,2025-03-27,17.240000000000002,0,3.628
2025,87,13.8,23.19,13.09,0.0,2.23,2025-03-28,18.14,0,2.829
2025,88,5.95,21.99,15.1,2.11,3.21,2025-03-29,18.544999999999998,0,1.957
2025,89,12.1,26.52,17.72,16.34,2.97,2025-03-30,22.119999999999997,0,3.017
2025,90,8.99,19.64,7.4,18.43,2.69,2025-03-31,13.52,0,2.368
2025,91,21.71,21.74,4.67,0.0,2.25,2025-04-01,13.204999999999998,0,3.504
2025,92,12.4,28.04,19.0,1.09,5.32,2025-04-02,23.52,0,3.658
2025,93,13.1,28.6,21.13,1.14,3.97,2025-04-03,24.865000000000002,0,3.367
2025,94,13.47,28.9,18.99,0.36,3.44,2025-04-04,23.945,0,3.599
2025,95,12.9,27.73,21.24,7.4,4.43,2025-04-05,24.485,0,3.202
2025,96,5.16,22.02,10.07,66.0,3.48,2025-04-06,16.045,0,2.439
2025,97,13.51,15.37,6.04,0.1,2.78,2025-04-07,10.705,0,2.272
2025,98,26.54,16.9,3.98,0.0,2.3,2025-04-08,10.44,0,3.373
2025,99,21.88,19.91,1.8,0.0,1.4,2025-04-09,10.855,0,3.126
2025,100,22.69,25.41,8.43,2.39,2.43,2025-04-10,16.92,0,4.156
2025,101,21.95,19.71,8.25,0.59,2.57,2025-04-11,13.98,0,3.399
2025,102,26.8,18.65,5.19,0.01,1.64,2025-04-12,11.92,0,3.554
2025,103,26.12,23.82,5.58,0.0,2.52,2025-04-13,14.7,0,4.275
2025,104,25.6,26.54,12.02,0.0,2.68,2025-04-14,19.28,0,4.672
2025,105,27.29,20.12,9.96,0.0,3.12,2025-04-15,15.040000000000001,0,3.939
2025,106,26.99,22.42,6.63,0.0,1.01,2025-04-16,14.525,0,3.848
2025,107,25.4,25.3,9.05,0.0,2.73,2025-04-17,17.175,0,4.52
2025,108,22.34,26.25,15.43,0.0,3.47,2025-04-18,20.84,0,4.392
